Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Rajeev Aravindakshan,Family Medicine Specialist,37+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Meenakshi Yeola,General Surgeon,33+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Uttara Das,Nephrologist,32+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. V Suresh,Endocrinologist,31+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Rajashekar Mohan,General Surgeon,30+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Deepti Vepakomma,Paediatric Surgeon,28+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Sripriya R,Anaesthesiologist,26+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Shanthakumar S,Plastic Surgeon,26+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Sumit Rai,Pathologist,25+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Vineet Thomas Abraham,Orthopedic Surgeon,25+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Satish Pundlik Dipankar,Psychiatrist/Psychologist,25+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Garikapati Kavitha,Obstetrician / Gynaecologist,24+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Seepana Ramesh,ENT Specialist,23+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Shashidhara M,Psychiatrist/Psychologist,23+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. G Sunil Naik,Psychiatrist/Psychologist,22+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Kanchi V Bhargava Reddy,Urologist,22+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Vijaya Chandra Reddy Avula,Psychiatrist/Psychologist,22+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Arun Babu T,Paediatrician,20+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Jyotsna Naresh Bharti,Pathologist,20+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Cheranjeevi Jayam,Dentist,19+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Muni Srikanth I,Orthopedic Surgeon,19+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Arundhathi S,Pathologist,19+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Satvinder Singh Bakshi,ENT Specialist,19+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Soumyajit Das,ENT Specialist,19+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Ramakrishna Pai J,Pathologist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Prashant Pranesh Joshi,Pathologist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Shikha Yadav,Dentist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Arvind G,Rheumatologist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Rajendra Prasad Mulpuri,Internal Medicine Specialist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. A Mohan Kumar,Pathologist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Ghansham Biyani,Anaesthesiologist,18+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Sairem Mangolnganbi Chanu,Obstetrician / Gynaecologist,17+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Kesava Ramgopal Adavikolanu,Radiation Oncologist,17+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswadem",Dr. Hima Gopinath,Dermatologist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswafam",Dr. Venkatashivareddy B,Family Medicine Specialist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Prudhvinath Reddy A,Radiologist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaorm",Dr. Kalyan Deepak S,Orthopedic Surgeon,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswainm",Dr. Uppara Kadiyala Rakesh,Internal Medicine Specialist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswadem",Dr. Jitendra Chawla Gulabrai,Dentist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswapsm",Dr. Afreen Begum Hasansab Itagi,Psychiatrist/Psychologist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaanm",Dr. Eeshwar M V,Anaesthesiologist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswapam",Dr. Janjala Narahari,Paediatric Surgeon,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswapsm",Dr. Jaiganesh S,Psychiatrist/Psychologist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswafam",Dr. Arti Gupta,Family Medicine Specialist,16+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswapam",Dr. Debabrata Dash,Pathologist,16+ Years
